,index,user_id,experiment_id,scenario_type,input_type,input_state,hand,event_datetime,hand_location,hand_rotation
401,87,AB,1,T2,IA_Move,started,Right,2024-10-25 13:53:01.549,(3.942066;1.109207;6.788727),(-3.713132;-7.943624;106.709503)
402,88,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:53:01.640,(4.003025;1.400059;6.496216),(-2.686528;-3.466152;103.424805)
403,89,AB,1,T2,IA_Move,started,Right,2024-10-25 13:53:02.233,(0.065025;1.560694;5.103188),(13.310451;3.218374;92.405823)
404,90,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:53:02.390,(0.001175;2.006098;6.508469),(7.866237;2.317788;104.366661)
405,91,AB,1,T2,IA_Move,started,Right,2024-10-25 13:53:04.667,(8.65934;7.437134;6.910362),(-8.988167;-5.381118;102.810036)
406,92,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:53:04.836,(6.276791;6.569123;7.596985),(2.179286;-7.839999;105.77523)
407,93,AB,1,T2,IA_Move,started,Right,2024-10-25 13:53:05.319,(0.017212;2.694527;8.133385),(8.069392;-13.377551;90.168144)
408,94,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:53:05.490,(1.576126;1.035041;9.24942),(8.595448;-16.742023;82.086342)
409,95,AB,1,T2,IA_Move,started,Right,2024-10-25 13:53:05.823,(1.958996;3.559273;9.826065),(0.350686;-14.763277;93.777992)
410,96,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:53:05.953,(3.236828;4.376177;8.613274),(6.962946;-14.328869;96.372887)
411,97,AB,1,T2,IA_Move,started,Right,2024-10-25 13:53:06.089,(3.821262;3.227504;8.873199),(4.770394;-14.298556;93.693024)
412,98,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:53:06.155,(3.24654;2.070549;9.220337),(6.289809;-14.103962;87.083855)
413,99,AB,1,T2,IA_Move,started,Right,2024-10-25 13:53:06.365,(1.25499;2.595555;9.087044),(-4.454017;-5.523405;56.490986)
414,100,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:53:06.635,(4.692116;4.303998;4.487305),(-0.685205;-0.869624;55.789463)
415,101,AB,1,T2,IA_Move,started,Right,2024-10-25 13:53:06.723,(4.073729;10.88792;3.87841),(-1.523686;4.200037;51.549595)
416,102,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:53:06.934,(3.477461;9.679682;5.602257),(-0.829903;-1.305194;49.104286)
