user_id,scenary_type,start_datetime,end_datetime,start_position,end_position,distance
40,CarAccident,2023-05-04 10:29:41,2023-05-04 10:29:41,X=-10298.101 Y=-1127.867 Z=3.322,X=-10280.707 Y=-846.304 Z=3.322,2.820997
40,CarAccident,2023-05-04 10:29:45,2023-05-04 10:29:45,X=-10291.094 Y=-852.450 Z=3.322,X=-10313.114 Y=-592.048 Z=3.322,2.613311
40,CarAccident,2023-05-04 10:29:46,2023-05-04 10:29:46,X=-10301.216 Y=-584.714 Z=3.322,X=-10301.096 Y=-333.643 Z=3.322,2.510711
40,CarAccident,2023-05-04 10:29:47,2023-05-04 10:29:48,X=-10297.822 Y=-335.108 Z=3.322,X=-10254.849 Y=-118.867 Z=3.322,2.204698
40,CarAccident,2023-05-04 10:29:49,2023-05-04 10:29:49,X=-10254.890 Y=-118.791 Z=3.322,X=-10188.438 Y=-3.995 Z=3.322,1.326422
40,CarAccident,2023-05-04 10:29:51,2023-05-04 10:29:51,X=-10177.221 Y=-24.575 Z=3.322,X=-10021.877 Y=-191.997 Z=3.322,2.283897
40,CarAccident,2023-05-04 10:29:52,2023-05-04 10:29:52,X=-10021.792 Y=-191.259 Z=3.322,X=-9868.360 Y=-339.347 Z=3.322,2.1324
40,CarAccident,2023-05-04 10:29:52,2023-05-04 10:29:53,X=-9868.438 Y=-338.642 Z=3.322,X=-9707.076 Y=-488.470 Z=3.322,2.201948
40,CarAccident,2023-05-04 10:29:58,2023-05-04 10:29:58,X=-9701.846 Y=-462.015 Z=3.322,X=-9839.111 Y=-281.096 Z=3.322,2.27098
40,CarAccident,2023-05-04 10:30:03,2023-05-04 10:30:06,X=-9838.145 Y=-287.619 Z=3.322,X=-10055.586 Y=-102.139 Z=3.322,2.858037
40,CarAccident,2023-05-04 10:30:06,2023-05-04 10:30:55,X=-10055.586 Y=-102.139 Z=3.322,X=-9792.942 Y=-176.912 Z=3.322,4.079462
40,CarAccident,2023-05-04 10:30:56,2023-05-04 10:30:57,X=-9790.100 Y=-185.623 Z=3.322,X=-9586.065 Y=-371.607 Z=3.322,2.7608
40,CarAccident,2023-05-04 10:30:57,2023-05-04 10:30:57,X=-9586.134 Y=-375.711 Z=3.322,X=-9509.261 Y=-568.841 Z=3.322,2.078664
40,CarAccident,2023-05-04 10:30:59,2023-05-04 10:31:01,X=-9529.016 Y=-557.566 Z=3.322,X=-9975.619 Y=-529.687 Z=3.322,4.474729
40,CarAccident,2023-05-04 10:31:03,2023-05-04 10:31:03,X=-9976.303 Y=-526.114 Z=3.322,X=-10268.204 Y=-525.333 Z=3.322,2.919024
40,CarAccident,2023-05-04 10:31:07,2023-05-04 10:31:08,X=-10292.956 Y=-468.297 Z=3.322,X=-10605.784 Y=-484.626 Z=3.322,3.13254
40,CarAccident,2023-05-04 10:31:15,2023-05-04 10:31:15,X=-10593.624 Y=-542.550 Z=3.322,X=-10571.236 Y=-801.456 Z=3.322,2.598724
40,CarAccident,2023-05-04 10:31:16,2023-05-04 10:31:16,X=-10570.020 Y=-799.730 Z=3.322,X=-10504.416 Y=-1078.855 Z=3.322,2.86731
40,CarAccident,2023-05-04 10:31:17,2023-05-04 10:31:17,X=-10504.798 Y=-1078.963 Z=3.322,X=-10449.957 Y=-1315.997 Z=3.322,2.43295
40,CarAccident,2023-05-04 10:31:18,2023-05-04 10:31:18,X=-10447.138 Y=-1314.922 Z=3.322,X=-10408.379 Y=-1549.218 Z=3.322,2.374801
40,CarAccident,2023-05-04 10:31:22,2023-05-04 10:31:22,X=-10409.306 Y=-1550.092 Z=3.322,X=-10613.682 Y=-1637.551 Z=3.322,2.22303
40,CarAccident,2023-05-04 10:31:24,2023-05-04 10:31:24,X=-10610.247 Y=-1617.326 Z=5.726,X=-10627.323 Y=-1347.345 Z=5.726,2.705197
40,CarAccident,2023-05-04 10:31:25,2023-05-04 10:31:25,X=-10630.075 Y=-1346.837 Z=3.322,X=-10640.757 Y=-1061.376 Z=3.322,2.856607
40,CarAccident,2023-05-04 10:31:25,2023-05-04 10:31:26,X=-10642.382 Y=-1061.537 Z=3.322,X=-10656.740 Y=-784.582 Z=3.322,2.77327
40,CarAccident,2023-05-04 10:31:26,2023-05-04 10:31:26,X=-10657.652 Y=-784.602 Z=3.322,X=-10688.519 Y=-498.689 Z=3.322,2.875734
40,CarAccident,2023-05-04 10:31:27,2023-05-04 10:31:27,X=-10687.045 Y=-498.743 Z=3.322,X=-10698.414 Y=-222.596 Z=3.322,2.763808
40,CarAccident,2023-05-04 10:31:29,2023-05-04 10:31:29,X=-10683.328 Y=-228.793 Z=3.322,X=-10535.189 Y=-85.900 Z=3.322,2.058239
40,CarAccident,2023-05-04 10:31:37,2023-05-04 10:31:37,X=-10538.451 Y=-62.652 Z=3.322,X=-10542.298 Y=-76.760 Z=3.322,0.146226
40,CarAccident,2023-05-04 10:31:38,2023-05-04 10:31:38,X=-10540.125 Y=-72.345 Z=3.322,X=-10537.430 Y=-83.019 Z=3.322,0.110092
40,CarAccident,2023-05-04 10:31:39,2023-05-04 10:31:39,X=-10540.166 Y=-82.967 Z=3.322,X=-10531.002 Y=-91.283 Z=3.322,0.123749
40,CarAccident,2023-05-04 10:31:40,2023-05-04 10:31:40,X=-10529.729 Y=-91.876 Z=3.322,X=-10523.383 Y=-101.079 Z=3.322,0.111796
40,CarAccident,2023-05-04 10:31:41,2023-05-04 10:31:41,X=-10523.952 Y=-102.087 Z=3.322,X=-10515.717 Y=-110.936 Z=3.322,0.120881
40,CarAccident,2023-05-04 10:31:41,2023-05-04 10:31:42,X=-10516.727 Y=-111.500 Z=3.322,X=-10510.608 Y=-117.503 Z=3.322,0.085715
40,CarAccident,2023-05-04 10:31:48,2023-05-04 10:31:55,X=-10513.919 Y=-123.832 Z=3.322,X=-10544.063 Y=-143.821 Z=3.322,0.361694
40,CarAccident,2023-05-04 10:31:57,2023-05-04 10:31:57,X=-10545.287 Y=-144.274 Z=3.322,X=-10545.409 Y=-144.107 Z=3.322,0.00207
40,CarAccident,2023-05-04 10:31:58,2023-05-04 10:31:59,X=-10545.823 Y=-143.575 Z=3.322,X=-10545.414 Y=-143.322 Z=3.322,0.004809
40,CarAccident,2023-05-04 10:32:00,2023-05-04 10:32:00,X=-10545.379 Y=-143.233 Z=3.322,X=-10545.580 Y=-143.341 Z=3.322,0.002282
40,CarAccident,2023-05-04 10:32:02,2023-05-04 10:32:02,X=-10547.307 Y=-142.869 Z=3.322,X=-10517.601 Y=-108.513 Z=3.322,0.454178
40,CarAccident,2023-05-04 10:32:09,2023-05-04 10:32:09,X=-10544.389 Y=-120.328 Z=3.322,X=-10554.109 Y=-380.752 Z=3.322,2.606054
40,CarAccident,2023-05-04 10:32:09,2023-05-04 10:32:09,X=-10551.178 Y=-381.622 Z=3.322,X=-10550.201 Y=-645.525 Z=3.322,2.639049
40,CarAccident,2023-05-04 10:32:10,2023-05-04 10:32:10,X=-10551.462 Y=-646.314 Z=3.322,X=-10541.124 Y=-910.427 Z=3.322,2.643152
40,CarAccident,2023-05-04 10:32:10,2023-05-04 10:32:10,X=-10538.957 Y=-910.816 Z=3.322,X=-10527.486 Y=-1158.896 Z=3.322,2.483449
40,CarAccident,2023-05-04 10:32:11,2023-05-04 10:32:11,X=-10524.481 Y=-1157.849 Z=3.322,X=-10509.180 Y=-1402.438 Z=3.322,2.450673
40,CarAccident,2023-05-04 10:32:12,2023-05-04 10:32:12,X=-10514.945 Y=-1406.378 Z=3.322,X=-10509.684 Y=-1623.606 Z=3.322,2.172921
40,CarAccident,2023-05-04 10:32:13,2023-05-04 10:32:13,X=-10507.023 Y=-1621.258 Z=5.726,X=-10393.000 Y=-1826.579 Z=5.726,2.348569
40,CarAccident,2023-05-04 10:32:19,2023-05-04 10:32:33,X=-10359.795 Y=-1805.496 Z=5.726,X=-10358.680 Y=-1800.666 Z=5.726,0.049573
40,CarAccident,2023-05-04 10:32:35,2023-05-04 10:33:02,X=-10359.705 Y=-1801.670 Z=5.726,X=-10327.074 Y=-1851.241 Z=5.726,0.593468
40,CarAccident,2023-05-04 10:36:08,2023-05-04 10:36:08,X=-9636.333 Y=-1673.824 Z=5.726,X=-9402.580 Y=-1535.777 Z=5.726,2.714725
