0,1,2,3,4,5,6,7,8,9,10
5,0,0,0,0,0,515,69,0,0,0
6,0,0,0,0,0,514,69,0,0,0
7,0,0,0,0,3,509,70,0,0,0
8,0,0,0,0,0,508,70,0,0,0
9,0,0,0,0,0,507,69,0,0,0
10,0,0,0,0,0,506,68,0,0,0
11,0,0,0,0,3,505,69,0,0,0
12,0,0,0,0,0,502,70,0,0,0
13,0,0,0,0,0,509,70,0,0,0
14,0,0,0,0,0,512,70,0,0,0
15,0,0,0,0,3,513,68,0,0,0
0,0,0,0,0,0,511,69,0,0,0
1,0,0,0,0,0,512,70,0,0,0
2,0,0,0,0,0,511,71,0,0,0
3,0,0,0,0,3,515,68,0,0,0
4,0,0,0,0,0,510,70,0,0,0
5,0,0,0,0,0,510,70,0,0,0
6,0,0,0,0,0,507,68,0,0,0
7,0,0,0,0,3,510,69,0,0,0
8,0,0,0,0,0,509,70,0,0,0
9,0,0,0,0,0,511,68,0,0,0
10,0,0,0,0,0,510,69,0,0,0
11,0,0,0,0,3,504,69,0,0,0
12,0,0,0,0,0,503,68,0,0,0
13,0,0,0,0,0,502,67,0,0,0
14,0,0,0,0,0,491,68,0,0,0
15,0,0,0,0,3,497,70,0,0,0
0,0,0,0,0,0,495,70,0,0,0
1,0,0,0,0,0,502,69,0,0,0
2,0,0,0,0,0,509,70,0,0,0
3,0,0,0,0,3,516,70,0,0,0
4,0,0,0,0,0,512,68,0,0,0
5,0,0,0,0,0,508,68,0,0,0
6,0,0,0,0,0,506,68,0,0,0
7,0,0,0,0,3,511,70,0,0,0
8,0,0,0,0,0,506,70,0,0,0
9,0,0,0,0,0,510,71,0,0,0
10,0,0,0,0,0,499,71,0,0,0
11,0,0,0,0,0,437,71,0,0,0
12,0,0,0,0,0,420,70,0,0,0
13,0,0,0,0,0,504,71,0,0,0
14,0,0,0,0,0,583,71,0,0,0
15,0,0,0,0,3,504,70,0,0,0
0,0,0,0,0,0,504,71,0,0,0
1,0,0,0,0,0,521,71,0,0,0
2,0,0,0,0,0,517,71,0,0,0
3,0,0,0,0,3,515,74,0,0,0
4,0,0,0,0,0,506,75,0,0,0
5,0,0,0,0,0,507,76,0,0,0
6,0,0,0,0,0,504,76,0,0,0
7,0,0,0,0,3,502,76,0,0,0
8,0,0,0,0,0,499,76,0,0,0
9,0,0,0,0,0,497,76,0,0,0
10,0,0,0,0,0,490,78,0,0,0
11,0,0,0,0,3,482,78,0,0,0
12,0,0,0,0,0,476,79,0,0,0
13,0,0,0,0,0,476,78,0,0,0
14,0,0,0,0,0,469,79,0,0,0
15,0,0,0,0,3,468,79,0,0,0
0,0,0,0,0,0,464,78,0,0,0
1,0,0,0,0,0,466,78,0,0,0
2,0,0,0,0,0,467,79,0,0,0
3,0,0,0,0,3,471,79,0,0,0
4,0,0,0,0,0,470,79,0,0,0
5,0,0,0,0,0,469,80,0,0,0
6,0,0,0,0,0,478,80,0,0,0
7,0,0,0,0,3,492,82,0,0,0
8,0,0,0,0,0,503,82,0,0,0
9,0,0,0,0,0,512,80,0,0,0
10,0,0,0,0,0,512,80,0,0,0
11,0,0,0,0,3,512,82,0,0,0
12,0,0,0,0,0,508,82,0,0,0
13,0,0,0,0,0,508,83,0,0,0
14,0,0,0,0,0,505,83,0,0,0
15,0,0,0,0,3,503,81,0,0,0
0,0,0,0,0,0,505,80,0,0,0
1,0,0,0,0,0,511,82,0,0,0
2,0,0,0,0,0,509,83,0,0,0
3,0,0,0,0,3,512,81,0,0,0
4,0,0,0,0,0,509,80,0,0,0
5,0,0,0,0,0,509,81,0,0,0
6,0,0,0,0,0,507,80,0,0,0
7,0,0,0,0,0,512,81,0,0,0
8,0,0,0,0,0,510,80,0,0,0
9,0,0,0,0,0,512,80,0,0,0
10,0,0,0,0,0,513,80,0,0,0
11,0,0,0,0,3,513,81,0,0,0
12,0,0,0,0,0,511,82,0,0,0
13,0,0,0,0,0,511,82,0,0,0
14,0,0,0,0,0,509,82,0,0,0
15,0,0,0,0,3,508,82,0,0,0
0,0,0,0,0,0,506,82,0,0,0
1,0,0,0,0,0,506,82,0,0,0
2,0,0,0,0,0,506,82,0,0,0
3,0,0,0,0,3,509,82,0,0,0
4,0,0,0,0,0,512,81,0,0,0
5,0,0,0,0,0,513,79,0,0,0
6,0,0,0,0,0,513,81,0,0,0
7,0,0,0,0,3,517,82,0,0,0
8,0,0,0,0,0,519,81,0,0,0
9,0,0,0,0,0,524,81,0,0,0
10,0,0,0,0,0,523,80,0,0,0
11,0,0,0,0,3,527,79,0,0,0
12,0,0,0,0,0,527,80,0,0,0
13,0,0,0,0,0,529,81,0,0,0
14,0,0,0,0,0,527,81,0,0,0
15,0,0,0,0,3,527,82,0,0,0
0,0,0,0,0,0,524,80,0,0,0
1,0,0,0,0,0,524,80,0,0,0
2,0,0,0,0,0,521,82,0,0,0
3,0,0,0,0,3,523,81,0,0,0
4,0,0,0,0,0,523,80,0,0,0
5,0,0,0,0,0,526,79,0,0,0
6,0,0,0,0,0,537,79,0,0,0
7,0,0,0,0,3,542,79,0,0,0
8,0,0,0,0,0,539,81,0,0,0
9,0,0,0,0,0,541,81,0,0,0
10,0,0,0,0,0,536,80,0,0,0
11,0,0,0,0,3,534,81,0,0,0
12,0,0,0,0,0,529,79,0,0,0
13,0,0,0,0,0,534,79,0,0,0
14,0,0,0,0,0,531,79,0,0,0
15,0,0,0,0,3,491,79,0,0,0
0,0,0,0,0,0,446,80,0,0,0
1,0,0,0,0,0,499,81,0,0,0
2,0,0,0,0,0,599,81,0,0,0
3,0,0,0,0,0,532,80,0,0,0
4,0,0,0,0,0,506,80,0,0,0
5,0,0,0,0,0,534,81,0,0,0
6,0,0,0,0,0,536,80,0,0,0
7,0,0,0,0,3,539,79,0,0,0
8,0,0,0,0,0,539,78,0,0,0
9,0,0,0,0,0,534,80,0,0,0
10,0,0,0,0,0,534,80,0,0,0
11,0,0,0,0,3,538,80,0,0,0
12,0,0,0,0,0,532,80,0,0,0
13,0,0,0,0,0,530,80,0,0,0
