,index,user_id,experiment_id,scenario_type,input_type,input_state,hand,event_datetime,hand_location,hand_rotation
223,73,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:54:15.835,,
224,74,AA,1,S1,IA_Move,started,Right,2024-10-22 13:54:16.784,,
225,75,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:54:16.842,,
226,76,AA,1,S1,IA_Grab,started,Left,2024-10-22 13:54:18.179,,
227,77,AA,1,S1,IA_Grab,completed,Left,2024-10-22 13:54:18.457,,
228,78,AA,1,S1,IA_Grab,started,Left,2024-10-22 13:54:18.615,,
229,79,AA,1,S1,IA_Grab,started,Right,2024-10-22 13:54:19.181,,
230,80,AA,1,S1,IA_Grab,completed,Right,2024-10-22 13:54:19.736,,
231,81,AA,1,S1,IA_Grab,started,Right,2024-10-22 13:54:20.608,,
232,82,AA,1,S1,IA_Grab,completed,Right,2024-10-22 13:54:21.127,,
233,83,AA,1,S1,IA_Grab,started,Right,2024-10-22 13:54:21.635,,
234,84,AA,1,S1,IA_Move,started,Right,2024-10-22 13:54:23.190,,
235,85,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:54:23.554,,
236,86,AA,1,S1,IA_Move,started,Right,2024-10-22 13:54:23.926,,
237,87,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:54:25.112,,
238,88,AA,1,S1,IA_Grab,completed,Right,2024-10-22 13:54:26.576,,
239,89,AA,1,S1,IA_Move,started,Right,2024-10-22 13:54:27.259,,
240,90,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:54:27.481,,
241,91,AA,1,S1,IA_Grab,completed,Left,2024-10-22 13:54:28.598,,
242,92,AA,1,S1,IA_Move,started,Right,2024-10-22 13:54:29.461,,
243,93,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:54:29.562,,
244,94,AA,1,S1,IA_Move,started,Right,2024-10-22 13:54:29.791,,
245,95,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:54:30.568,,
246,96,AA,1,S1,IA_Move,started,Right,2024-10-22 13:54:30.923,,
247,97,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:54:31.400,,
248,98,AA,1,S1,IA_Grab,started,Left,2024-10-22 13:54:33.373,,
