id,user_id,experiment_id,scenario_type,input_type,input_state,hand,event_datetime
73,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 13:59:27.829
74,AA,1,T2_BasicEmergency,IA_Grab_Right,started,Right,2024-10-22 13:59:32.512
75,AA,1,T2_BasicEmergency,IA_Move_Left,started,Left,2024-10-22 13:59:33.404
76,AA,1,T2_BasicEmergency,IA_Move_Left,completed,Left,2024-10-22 13:59:33.790
77,AA,1,T2_BasicEmergency,IA_Move_Left,started,Left,2024-10-22 13:59:34.525
78,AA,1,T2_BasicEmergency,IA_Move_Left,completed,Left,2024-10-22 13:59:34.684
79,AA,1,T2_BasicEmergency,IA_Move_Left,started,Left,2024-10-22 13:59:38.296
80,AA,1,T2_BasicEmergency,IA_Move_Left,completed,Left,2024-10-22 13:59:39.402
81,AA,1,T2_BasicEmergency,IA_Move_Left,started,Left,2024-10-22 13:59:46.319
82,AA,1,T2_BasicEmergency,IA_Move_Left,completed,Left,2024-10-22 13:59:46.709
83,AA,1,T2_BasicEmergency,IA_Grab_Right,completed,Right,2024-10-22 13:59:47.470
84,AA,1,T2_BasicEmergency,IA_Move_Right,started,Right,2024-10-22 13:59:48.191
85,AA,1,T2_BasicEmergency,IA_Move_Right,completed,Right,2024-10-22 13:59:48.576
86,AA,1,T2_BasicEmergency,IA_Move_Right,started,Right,2024-10-22 13:59:48.997
87,AA,1,T2_BasicEmergency,IA_Move_Right,completed,Right,2024-10-22 13:59:49.281
88,AA,1,T2_BasicEmergency,IA_Move_Right,started,Right,2024-10-22 13:59:49.869
89,AA,1,T2_BasicEmergency,IA_Move_Right,completed,Right,2024-10-22 13:59:50.10
90,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 14:0:1.902
91,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 14:0:2.12
92,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 14:0:2.417
93,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 14:0:2.470
