id,user_id,scenario_type,move_type,start_datetime,end_datetime,start_position,end_position,distance
82, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:15", "2024-1-29 16:59:15", "12721.307617,-4082.371094", "12772.441406,-4249.213867", "1.745025"
83, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:16", "2024-1-29 16:59:16", "12772.587891,-4248.767578", "12804.671875,-4284.913086", "0.483314"
84, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:59:13", "2024-1-29 16:59:18", "0.0,0.0", "4.172592,-11.024482", "0.117877"
85, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:18", "2024-1-29 16:59:18", "12800.543945,-4273.286621", "12829.745117,-4024.1875", "2.508049"
86, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:18", "2024-1-29 16:59:18", "12830.545898,-4025.699219", "12898.541016,-3856.09375", "1.827275"
87, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:19", "2024-1-29 16:59:19", "12899.330078,-3856.203857", "12961.974609,-3708.086426", "1.608201"
88, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:19", "2024-1-29 16:59:19", "12962.554688,-3707.378662", "12998.192383,-3619.096191", "0.952039"
89, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:20", "2024-1-29 16:59:21", "12999.098633,-3627.509033", "12919.989258,-3893.301758", "2.773159"
90, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:21", "2024-1-29 16:59:21", "12920.041992,-3893.692871", "12816.854492,-4135.475586", "2.628813"
91, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:21", "2024-1-29 16:59:22", "12816.126953,-4136.632812", "12729.496094,-4296.403809", "1.817466"
92, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:22", "2024-1-29 16:59:22", "12729.535156,-4296.536133", "12745.435547,-4304.235352", "0.176662"
93, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:23", "2024-1-29 16:59:23", "12745.632812,-4303.791992", "12755.829102,-4396.661133", "0.934272"
94, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:25", "2024-1-29 16:59:25", "12758.932617,-4385.530273", "12831.288086,-4196.3125", "2.025805"
95, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:59:18", "2024-1-29 16:59:26", "0.0,0.0", "-11.104601,13.369782", "0.1738"
96, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:59:26", "2024-1-29 16:59:27", "-11.104601,13.369782", "-20.682489,4.30685", "0.131861"
